country,date,deaths
Argentina,2020-01-22,0
Argentina,2020-01-23,0
Argentina,2020-01-24,0
Argentina,2020-01-25,0
Argentina,2020-01-26,0
Argentina,2020-01-27,0
Argentina,2020-01-28,0
Argentina,2020-01-29,0
Argentina,2020-01-30,0
Argentina,2020-01-31,0
Argentina,2020-02-01,0
Argentina,2020-02-02,0
Argentina,2020-02-03,0
Argentina,2020-02-04,0
Argentina,2020-02-05,0
Argentina,2020-02-06,0
Argentina,2020-02-07,0
Argentina,2020-02-08,0
Argentina,2020-02-09,0
Argentina,2020-02-10,0
Argentina,2020-02-11,0
Argentina,2020-02-12,0
Argentina,2020-02-13,0
Argentina,2020-02-14,0
Argentina,2020-02-15,0
Argentina,2020-02-16,0
Argentina,2020-02-17,0
Argentina,2020-02-18,0
Argentina,2020-02-19,0
Argentina,2020-02-20,0
Argentina,2020-02-21,0
Argentina,2020-02-22,0
Argentina,2020-02-23,0
Argentina,2020-02-24,0
Argentina,2020-02-25,0
Argentina,2020-02-26,0
Argentina,2020-02-27,0
Argentina,2020-02-28,0
Argentina,2020-02-29,0
Argentina,2020-03-01,0
Argentina,2020-03-02,0
Argentina,2020-03-03,0
Argentina,2020-03-04,0
Argentina,2020-03-05,0
Argentina,2020-03-06,0
Argentina,2020-03-07,0
Argentina,2020-03-08,1
Argentina,2020-03-09,1
Argentina,2020-03-10,1
Argentina,2020-03-11,1
Argentina,2020-03-12,1
Argentina,2020-03-13,2
Argentina,2020-03-14,2
Argentina,2020-03-15,2
Argentina,2020-03-16,2
Argentina,2020-03-17,2
Argentina,2020-03-18,2
Argentina,2020-03-19,3
Argentina,2020-03-20,3
Argentina,2020-03-21,4
Argentina,2020-03-22,4
Argentina,2020-03-23,4
Argentina,2020-03-24,6
Argentina,2020-03-25,8
Argentina,2020-03-26,9
Argentina,2020-03-27,13
Argentina,2020-03-28,18
Argentina,2020-03-29,19
Argentina,2020-03-30,23
Argentina,2020-03-31,27
Argentina,2020-04-01,28
Argentina,2020-04-02,36
Argentina,2020-04-03,39
Argentina,2020-04-04,43
Argentina,2020-04-05,44
Argentina,2020-04-06,48
Argentina,2020-04-07,56
Argentina,2020-04-08,63
Argentina,2020-04-09,72
Argentina,2020-04-10,82
Argentina,2020-04-11,83
Argentina,2020-04-12,90
Argentina,2020-04-13,97
Argentina,2020-04-14,102
Argentina,2020-04-15,111
Argentina,2020-04-16,115
Argentina,2020-04-17,123
Argentina,2020-04-18,129
Argentina,2020-04-19,132
Argentina,2020-04-20,136
Argentina,2020-04-21,147
Argentina,2020-04-22,152
Argentina,2020-04-23,165
Argentina,2020-04-24,176
Argentina,2020-04-25,185
Argentina,2020-04-26,192
Argentina,2020-04-27,197
Argentina,2020-04-28,207
Argentina,2020-04-29,214
Argentina,2020-04-30,218
Argentina,2020-05-01,225
Argentina,2020-05-02,237
